Sensor_A,Sensor_B,Humidity,Pressure,time,True_Temperature
13.44841509385339,12.97857414322127,72,985,11,13.935464462022718
32.87462132618971,33.38743223882611,52,1010,15,32.811531438844774
27.981984432712842,27.91395753237384,27,1019,7,28.39453766196649
28.465916974913547,27.909625520573023,44,1023,16,28.303439311531594
17.220345701236074,16.252479430911986,29,1012,8,17.15924920039906
25.933545575719712,25.10642808386594,36,1017,22,25.446763248782027
32.79904053556526,31.591631810173276,56,987,21,32.51753996009136
27.15103664771456,27.288221784018475,49,999,22,26.662093956597726
17.553360219010123,17.673161691677304,83,996,17,17.991292745467494
32.357170294948496,33.11084872146477,85,999,0,32.18769041066622
17.76175806702362,18.312242787626033,74,1019,23,17.314250061436855
39.48509639981236,39.83105430654795,24,990,0,39.13389147662577
23.475065924502953,23.623600263528875,71,1002,11,23.879573795133126
25.541471772324556,25.894664713463886,58,997,5,26.01136416800271
28.47115428732317,28.712180996996725,83,990,10,28.969711123181586
27.60778574058191,28.484631282471646,59,1002,21,27.619756799809906
19.60165759562902,19.80040177751537,45,994,3,19.398299524889165
36.00386130465844,36.756657756525684,56,1028,15,36.43167002203521
29.509463047168946,29.72871317586466,52,983,8,29.551743664785633
14.31282184296775,13.886020518257327,68,1030,4,13.85914159494366
29.76005364283301,30.729253186576504,25,1010,8,29.84405287161329
17.978388152448066,18.861054481599396,24,995,14,18.338602792728526
36.75116941859962,37.56847991562884,71,1010,10,36.96652516369839
18.1474054179462,17.989670824541765,54,1021,3,18.21920976848613
17.70172311354717,18.500908921290318,46,1010,0,18.12450650556647
27.936479641078797,27.658307979630006,33,1019,15,28.03226838356016
16.52833481013443,16.915515250857382,88,1026,13,16.64347638014812
25.26977332149216,25.85420457108987,78,983,2,25.53740821671421
28.153855373306452,27.055235787712068,71,1028,14,27.680080724529404
35.615888082492944,34.79578947904932,48,1029,13,35.49440032454722
31.084063889131,30.647731978386325,80,1018,14,31.427534312399423
17.43520685401997,16.698162423266528,37,1025,6,17.66958951685905
39.17285831639029,38.97421875320322,36,981,4,38.777981615401075
14.078878559190036,14.489249258394626,72,1014,0,14.342854935296355
25.637295496146855,24.42512783658799,57,999,22,25.347209671506512
34.556339966138836,33.776005003006546,89,982,18,34.45464465344499
19.333338995563008,18.17521188965695,64,991,4,19.104991500222688
19.75854740472284,20.535093294685495,66,1000,5,20.04950468897783
30.167329891361714,29.70390874814106,58,1030,6,30.330678668778148
30.76993644837208,30.535128322124656,84,1013,13,31.255128244134106
22.722892745228638,23.590539269029833,34,1013,3,23.139129283177816
33.99285313089291,34.77981854507473,46,990,0,34.20797796419736
15.46519762422819,15.873403508681127,36,992,5,15.446821788025522
35.34907949669254,34.559454542951244,25,1020,22,35.23190050982261
28.757469330771812,29.782836562613994,40,1024,4,28.910818243961387
26.54075307263901,25.962074406243122,60,986,8,26.6038172142438
37.2928616670114,38.5958428462441,66,991,3,37.73295174420357
24.638036311614837,24.212229739062508,45,1018,6,24.943444749896386
28.764539979542675,13.726643133941224,36,1016,4,14.389331177319688
24.318063264163506,23.365733247273734,47,983,14,24.204719792819798
39.36561959633948,39.66253584163822,49,988,13,39.41352974591488
34.286246110290065,34.67741708070826,32,1013,2,34.312182319616255
26.075254556457583,24.92670173784684,90,1007,1,25.82274303068848
16.573340145239715,16.542090112742112,68,985,6,16.519043457903706
26.42507091253394,25.775558807022797,57,1016,23,26.153536388048053
17.09012730613508,16.73787514300348,74,1004,19,17.438373440999115
39.12412722034621,39.52307971066729,45,1015,12,39.343025187071866
19.450843791690403,18.447947506660864,61,995,13,19.011082419782127
36.895028044806665,35.77587861619397,89,1021,9,36.76337711051936
19.353053741547328,18.550466606575494,25,1018,6,18.97078580958009
18.689910963106357,17.43725450889468,79,1021,6,18.363271794833572
34.431961491962745,34.579537745736914,85,1003,14,34.4542486107386
20.708683496466175,21.066386745466854,46,1004,10,21.047784776469044
17.606694635878124,18.799551616209527,27,1002,2,17.982088952923913
16.651149936840135,16.38080968707509,71,1016,15,16.94179852737902
19.028474376900007,20.283021475370706,33,1019,13,19.49684719344098
29.184055533123672,29.28061537215054,81,1026,13,29.052612277327007
37.338626612075316,37.961260352385956,26,1002,22,37.10451617142283
26.856736969473317,28.277996148261014,75,981,22,27.316169237568946
30.81839929817365,31.7958964808072,35,1000,6,31.120759397873183
26.247882522252226,26.70295985241499,84,1020,23,26.197379736324667
38.574961858686024,26.820874137319112,54,1020,13,27.620837394184434
22.03136203438998,22.91202326856198,85,1018,12,22.486733467651025
22.189743055689668,20.914879634154612,34,999,3,21.76074312550109
